=== REPORTE FINAL DEL USUARIO ===
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Emilio'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Noelia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Ramón'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Daniela'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Tomás'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Mariana'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Víctor'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Esther'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Samuel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Nuria'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Gonzalo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Irene'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Mateo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Sara'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Ángel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Paola'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'David'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Mónica'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Enrique'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Natalia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Rubén'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Carla'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Gerardo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Ariana'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Sebastián'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Eva'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Rodrigo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Marina'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Felipe'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Clara'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Adrián'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Raquel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Cristóbal'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Alejandra'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Héctor'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Inés'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Mauricio'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Fátima'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Simón'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Rebeca'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Bruno'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Amparo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Esteban'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Lidia'
[2026-08-14 11:25:07] cargarDesdeArchivo: Se cargaron 100 nombres desde datos.txt
[2026-08-14 11:25:14] buscarNombre: El nombre 'Laura' se encontro en la posicion 7
